Employee Code,Report Number,Report Status,Expense Report Date,Report Total (PKR),Purpose,Report Submission Date
KRN014,18723918,Paid,2026-07-24,180416.0,80% per diem of 8 days travel(TRF Attached),2026-07-24
KRN185,18723934,Paid,2026-07-24,2997.0,Phone bill,2026-07-24
KRN182,18739852,Paid,2026-06-01,25188.0,Staff Training Reimbursement (linkedIn),2026-07-24
KRN177,18771403,Paid,2026-07-27,6000.0,Travel Allowance,2026-07-27
KRN230,18771443,Paid,2026-07-28,5858.0,Communication Expenses- July,2026-07-28
KRN155,18762562,Paid,2026-07-29,7000.0,Communication Allowance,2026-07-29
KRN205,18762606,Paid,2026-07-29,14000.0,Communication Allowance Reimbursement,2026-07-29
KRN053,18762541,Paid,2026-07-29,10000.0,Communication Reimbursement - June 2026,2026-07-29
KRN096,18762656,Paid,2026-07-29,286171.0,LUMS REDC Program Fee Reimbursement,2026-07-29
KRN185,18771736,Paid,2026-07-30,18000.0,Travel Expense,2026-07-30
KRN190,18771786,Paid,2026-07-30,18000.0,Daily Subsistence Allowance,2026-07-30
KRN185,18771750,Paid,2026-07-30,3745.0,Travel Reimbursement,2026-07-30
KRN234,18791094,Paid,2026-07-31,18000.0,Travel to Karachi (Per Diem),2026-07-31
KRN175,18771911,Paid,2026-07-31,18000.0,Travelling Allowance,2026-07-31
KRN150,18798037,Paid,2026-08-01,12000.0,Travel_Expense_Reimbursement,2026-08-01
KRN197,18791212,Paid,2026-08-03,18000.0,Travel Per Diem - Karachi Travel 26 to 28th July 2026,2026-08-03
KRN197,18791276,Paid,2026-08-03,10000.0,Communication Allowance - July 2026,2026-08-03
KRN205,18791196,Paid,2026-08-03,6000.0,BNI Sponsor Meeting in Lahore,2026-08-03
KRN090,18798122,Paid,2026-07-31,7000.0,Communication Allowance - July 2026,2026-08-03
KRN222,18798163,Paid,2026-08-03,4500.0,Communication Allowance,2026-08-03
KRN211,18629064,Paid,2026-08-03,118364.0,Reimbursement of Professional Development Application Form,2026-08-03
KRN224,18798244,Paid,2026-08-03,50010.0,Staff Training,2026-08-03
KRN059,18791492,Paid,2026-08-04,9989.97,Communication Allowance,2026-08-04
KRN232,18798466,Paid,2026-08-04,5000.0,Bag reimbursement,2026-08-04
KRN179,18723274,Paid,2026-07-21,18000.0,Travel to Lahore for PFSL,2026-08-04
KRN225,18823416,Paid,2026-08-06,4500.0,Communication Allowance,2026-08-06
KRN177,18771388,Paid,2026-08-06,7000.0,Communication Allowance,2026-08-06
KRN071,18798684,Paid,2026-07-31,10000.0,Communication Allowance July 2026,2026-08-06
KRN142,18798616,Paid,2026-08-06,60325.47,Personal Training - Claude Annual (3rd),2026-08-06
KRN128,18823990,Paid,2026-08-09,6700.0,Reimbursement for Children Goody Basket Items,2026-08-09
KRN128,18823971,Paid,2026-08-09,9626.0,Communication Allowance - August 2026,2026-08-09
KRN214,18852395,Paid,2026-08-10,6863.0,communication,2026-08-10
KRN232,18854141,Paid,2026-08-10,4500.0,Reimbursement for Communication,2026-08-10
KRN232,18854130,Paid,2026-08-10,4500.0,Reimbursement communication bill,2026-08-10
KRN167,18863678,Paid,2026-08-11,4500.0,Communication Allowance - July 2026,2026-08-11
KRN155,18852661,Paid,2026-08-12,7000.0,Communication Allowance,2026-08-12
KRN077,18580499,Paid,2026-07-10,6998.0,Communication reimbursement,2026-08-12
KRN077,18863704,Paid,2026-08-12,6381.0,Communication reimbursement,2026-08-12
KRN039,18852973,Paid,2026-08-16,7035.0,Communication - Aug 2026,2026-08-16
KRN208,18852994,Paid,2026-08-17,9509.0,Communication allowance,2026-08-17
KRN206,18874062,Paid,2026-06-04,12000.0,SITE visit for Annual retreat,2026-08-17
KRN142,18798644,Paid,2026-08-06,4500.0,Internet - August 2026,2026-08-17
KRN134,18874118,Paid,2026-08-17,4500.0,Communication Allowance August 2026,2026-08-17
KRN229,18874090,Paid,2026-07-20,3000.0,Communication Allowance,2026-08-17
KRN208,18894036,Paid,2026-08-17,15000.0,Wellness Allowance,2026-08-17
KRN039,18894470,Paid,2026-08-17,19800.0,Wellness Allowance for Two Months (Jul & Aug 26),2026-08-17
KRN210,18798772,Paid,2026-08-06,8697.0,Communication (Internet + Phone) Aug 2026,2026-08-18
KRN059,18894743,Paid,2026-08-18,10000.0,Communication Claim,2026-08-18
KRN228,18874343,Paid,2026-08-19,7000.0,Communication Reimbursement for July 2026,2026-08-19
KRN229,18874376,Paid,2026-07-20,1500.0,Communication Allowance,2026-08-19
KRN231,18798386,Paid,2026-08-03,12000.0,Wellness Allowance - July 2026,2026-08-19
KRN220,18874430,Paid,2026-08-20,4500.0,Reimbursement of communication Bill,2026-08-20
KRN213,18874515,Paid,2026-08-21,6658.0,Communication Allowence,2026-08-21
KRN211,18999063,Paid,2026-08-03,4500.0,Monthly Mobile Bill for July,2026-08-24
KRN174,19007007,Paid,2026-08-24,4447.0,Communication Allowance - September 2026,2026-08-24
KRN175,18999074,Paid,2026-08-24,7000.0,Communication Allowance,2026-08-24
KRN175,18999138,Paid,2026-08-24,2500.0,Communication Allowance,2026-08-24
KRN128,18999191,Paid,2026-05-18,238459.0,LinkedIn Reimbursement FY 26-27,2026-08-24
KRN039,19007322,Paid,2026-08-25,12778.75,Travel for Identity Conference 28 and 29 July 2026,2026-08-25
KRN125,18791860,Paid,2026-08-05,194106.5,International Training- Per Diem,2026-08-25
KRN134,19007469,Paid,2026-08-27,36000.0,Travel Allowance Karachi August 2026,2026-08-27
KRN177,18999486,Paid,2026-08-31,6000.0,Travel Allowance,2026-08-31
KRN218,19007677,Paid,2026-07-28,9180.0,Comms Reimbursement - Jul Aug,2026-08-31
KRN038,17947399,Ready for payment processing,2026-08-31,42534.54,[Buna] Int'l Travel Reimbursement from 01 Jul '25 to 12 Jun '26,2026-08-31
KRN218,18771508,Paid,2026-07-28,12000.0,Wellness allowance Reimbursement - Jul 26,2026-08-31
KRN218,19007902,Paid,2026-07-28,33600.0,Training Expense,2026-08-31
KRN229,18999632,Paid,2026-07-20,111600.0,Staff Training,2026-08-31
KRN053,19007565,Paid,2026-08-31,1070117.0,Staff Training Expenses - Wharton Leadership and Management Certificate Program,2026-08-31
KRN038,19051067,Ready for payment,2026-08-31,2621836.0,Staff training reimbursement (HBS High Potentials Leadership Program),2026-08-31
KRN222,18999727,Paid,2026-09-01,4500.0,Communication Allowance,2026-09-01
KRN053,19051188,Paid,2026-09-01,10000.0,Communication Reimbursement - July 2026,2026-09-01
KRN078,19051162,Paid,2026-09-01,1453363.0,Staff Training Reimbursement (3/3 HBS Accion),2026-09-01
KRN175,18999877,Paid,2026-09-02,8550.0,Fuel Reimbursement,2026-09-02
KRN125,19051429,Paid,2026-09-02,18000.0,Per diem - Travel to SBP Karachi,2026-09-02
KRN090,19051261,Paid,2026-07-31,7000.0,Communication Allowance - August 2026,2026-09-02
KRN230,18999833,Paid,2026-09-01,61000.0,Travel allowance- Karachi 2026,2026-09-02
KRN197,19060027,Paid,2026-09-03,18000.0,Per Diem - Travel Karachi 26-28th Aug 2026,2026-09-03
KRN197,19060390,Paid,2026-09-04,10000.0,Communication Allowance - Aug 2026,2026-09-04
KRN030,19051522,Paid,2026-09-04,12000.0,Communication Allowance,2026-09-04
KRN142,19060422,Paid,2026-09-04,8585.0,Fuel Reimbursement (August 2026),2026-09-04
KRN187,19060478,Paid,2026-09-04,10320.0,Fuel Reimbursement,2026-09-04
KRN175,19060511,Paid,2026-09-04,12000.0,Wellness Allowance,2026-09-04
KRN175,19060526,Paid,2026-09-04,9000.0,Wellness Allowance,2026-09-04
KRN071,19051557,Paid,2026-09-06,32540.0,Team Lunch (DI RMC) Sep 2026,2026-09-06
KRN071,19051572,Paid,2026-08-31,10000.0,Communication Allowance August 2026,2026-09-06
KRN177,19051656,Paid,2026-09-07,7000.0,Communication Allowance,2026-09-07
KRN077,19060752,Paid,2026-07-09,6366.0,Communication Reimbursement,2026-09-07
KRN125,19060805,Paid,2026-09-07,10600.0,Communication Allowance - June to August 2026,2026-09-07
KRN210,19060803,Paid,2026-09-07,8698.0,Communication (Internet + Phone) Sep 2026,2026-09-07
KRN167,19060772,Paid,2026-09-07,4500.0,Communication Allowance - August 2026,2026-09-07
KRN039,19051776,Paid,2026-09-08,61449.73,Gates Foundation London Workshop for Pakistan - VISA Fee Reimbursement,2026-09-08
KRN128,19060913,Paid,2026-09-08,9616.0,Communication Allowance - September 2026,2026-09-08
KRN128,19092109,Paid,2026-09-08,129600.0,Cinema-Kar Reimbursement FY 26-27,2026-09-08
KRN208,19092096,Paid,2026-09-08,17000.0,Staff training,2026-09-08
KRN158,19051860,Paid,2026-09-08,750521.0,,2026-09-08
KRN185,19092147,Pending manager approval,2026-09-09,1600.0,Phone Bill,2026-09-09
KRN155,19092157,Paid,2026-09-09,7000.0,Communication Allowance,2026-09-09
KRN195,19092166,Paid,2026-09-09,29483.0,Lunch for IC Meeting,2026-09-09
KRN134,19092198,Paid,2026-09-09,4500.0,Communication Allowance September 2026,2026-09-09
KRN014,19092485,Paid,2026-09-10,45104.0,20% remaining per diem,2026-09-10
KRN134,19092331,Paid,2026-09-09,14000.0,Training Reimbursement 2026,2026-09-10
KRN197,19098716,Paid,2026-09-11,61041.0,Visa Fee - Expense Claim,2026-09-11
KRN134,19107569,Paid,2026-09-12,64400.0,Travel Reimbursement Sialkot & Gujrat 2026,2026-09-12
KRN232,19123257,Paid,2026-09-14,4500.0,Reimbursement of communication Bill,2026-09-14
KRN229,19098989,Paid,2026-07-20,3000.0,Communication Allowance,2026-09-14
KRN231,18999806,Paid,2026-09-14,12000.0,Wellness Allowance - August 2026,2026-09-14
KRN206,19098810,Paid,2026-09-14,117300.0,Staff Training (University 2nd Semester Fee),2026-09-14
KRN096,19123371,Paid,2026-09-14,59998.54,LUMS REDC Training Program Expenses,2026-09-14
KRN195,18999672,Ready for payment processing,2026-08-31,8000.0,Communication Allowance,2026-09-15
KRN208,19124072,Paid,2026-09-15,9509.0,Communication Allowance,2026-09-15
KRN039,19123689,Paid,2026-09-15,7210.16,Communication Bill - Sep 2026,2026-09-15
KRN225,19123820,Paid,2026-09-15,4500.0,Communication Allowance,2026-09-15
KRN208,19124043,Paid,2026-09-15,15000.0,Wellness Allowance,2026-09-15
KRN077,19060726,Ready for payment processing,2026-08-12,49932.0,Remaining 20% per diem amount,2026-09-16
KRN147,18894967,Paid,2026-09-16,13500.0,Communication reimbursement - Q1 2026,2026-09-16
KRN134,19894002,Ready for payment processing,2026-09-19,36000.0,Travel Reimbursement Lahore 2026,2026-09-19
KRN175,19124403,Ready for payment processing,2026-09-16,7000.0,Communication Allowance,2026-09-19
KRN205,19908030,Ready for payment processing,2026-09-21,7000.0,Communication Allowance - September,2026-09-21
KRN205,19908035,Ready for payment processing,2026-09-21,7000.0,Communication Allowance - August,2026-09-21
KRN174,19908041,Pending manager approval,2026-09-21,4400.0,Communication Allowance - October 2026,2026-09-21
KRN190,19908093,Ready for payment processing,2026-09-21,4500.0,Communication Allowance -- August-26,2026-09-21
KRN190,19908110,Ready for payment processing,2026-09-21,4500.0,Communication Allowance -- Sept-26,2026-09-21
KRN214,19908161,Ready for payment processing,2026-09-22,6993.0,Communication,2026-09-22
KRN201,19908242,Pending manager approval,2026-09-23,36000.0,Travel allowance,2026-09-23
KRN014,19894099,Ready for payment processing,2026-09-21,66314.0,Token Tax of 4 Official Vehicles FY27-2,2026-09-24
KRN229,19908452,Ready for payment processing,2026-09-18,1500.0,Communication Allowance,2026-09-24
KRN219,19092097,Pending expense auditor approval,2026-09-08,69105.37,Staff Training,2026-09-24
KRN207,18509855,Paid,2026-06-29,4500.0,mobile bill,2026-07-13
KRN207,18798317,Paid,2026-07-31,4500.0,Mobile Bill,2026-08-03
KRN207,19908067,Ready for payment processing,2026-07-31,4500.0,Mobile bill,2026-09-21
KRN113,19124106,Paid,2026-09-15,28000.0,CEO Travel Claim,2026-09-15
